indicator,type,domain,approach,primary_role,question,core_indicator_extended_science_indicator,primary_role_original,tier1,tier2,tier3,tier4,role_rangers,role_scientists,has_T1,has_T2,has_T3,has_T4
Condition of key habitats (designation habitats),Outcome,Ecological Structure,Remote sensing + ranger ground-truthing,Rangers / Scientists,Are the habitats for which the PA was designated being maintained or degraded?,Core,Rangers / Scientists,T1,T3,NA,NA,TRUE,TRUE,1,NA,1,NA
Extent of key habitats,Outcome,Ecological Structure,GIS spatial analysis,Scientists,Is the spatial footprint of designation habitats stable or changing?,Core,Scientists,T1,NA,NA,NA,FALSE,TRUE,1,NA,NA,NA
Habitat connectivity,Outcome,Ecological Structure,GIS connectivity modelling + validation,Scientists,Is connectivity sufficient for long-term ecological viability?,Core,Scientists,T1,T2,NA,NA,FALSE,TRUE,1,1,NA,NA
Fragmentation and disturbance pressure,Process,Ecological Structure,Patrol observations + spatial overlays,Rangers,Are land-use or infrastructure pressures fragmenting key habitats?,Core,Rangers,T3,T4,NA,NA,TRUE,FALSE,NA,NA,1,1
Soil stability and erosion status,Process,Ecological Structure,"Visual scoring, fixed erosion points",Rangers,Are degradation processes undermining ecosystem recovery?,Core,Rangers,T3,T4,NA,NA,TRUE,FALSE,NA,NA,1,1
Fire damage and disturbance extent,Process,Ecological Structure,"Patrol mapping, burn scars",Rangers,Are fire events degrading key values or habitats?,Core,Rangers,T3,T4,NA,NA,TRUE,FALSE,NA,NA,1,1
Corridor use by focal species,Outcome,Ecological Structure,Camera traps + telemetry,Rangers / Scientists,Are ecological corridors functional in practice?,Core,Rangers / Scientists,T2,T4,NA,NA,TRUE,TRUE,NA,1,NA,1
Biomass condition and trends (ecosystem productivity proxy),Outcome,Functional Viability,"Vegetation condition and cover, grazing and browsing pressure, herbivore abundance indices, dung counts, utilisation patterns, fish biomass indices, size-structure observations, standing stock surveys (e.g. UVC, BRUVs), habitat-linked productivity proxies",Rangers / Scientists,"Is ecosystem biomass increasing, stable, or declining relative to recovery objectives?",Core,Rangers / Scientists,T1,T3,T4,NA,TRUE,TRUE,1,NA,1,1
Occupancy of designation species,Outcome,Functional Viability,"Camera traps, sightings, tracks",Rangers,Are priority species present where expected?,Core,Rangers,T1,T4,NA,NA,TRUE,FALSE,1,NA,NA,1
Relative abundance of designation species,Outcome,Functional Viability,"Repeated counts, indices",Rangers / Scientists,"Are populations stable, increasing, or declining?",Core,Rangers / Scientists,T1,T3,NA,NA,TRUE,TRUE,1,NA,1,NA
Behavioural evidence of breeding and recruitment,Process,Functional Viability,"Observations, camera traps",Rangers,Is reproduction occurring in situ?,Core,Rangers,T3,T4,NA,NA,TRUE,FALSE,NA,NA,1,1
Mortality and morbidity events (wildlife),Process,Functional Viability,Incident reporting,Rangers,Are there emerging threats to species survival?,Core,Rangers,T3,T4,NA,NA,TRUE,FALSE,NA,NA,1,1
"Indirect evidence of species presence (tracks, signs, dens)",Process,Functional Viability,Track and sign surveys,Rangers,Are species present even when not directly observed?,Core,Rangers,T4,NA,NA,NA,TRUE,FALSE,NA,NA,NA,1
Prey-base stability,Process,Functional Viability,"Counts, camera traps",Scientists,Can the system support higher trophic levels?,Core,Scientists,T2,T3,NA,NA,FALSE,TRUE,NA,1,1,NA
"Functional guild presence (pollinators, scavengers, engineers)",Outcome,Functional Viability,Acoustic / camera surveys,Scientists,Are key ecological functions being restored?,Core,Scientists,T1,T2,NA,NA,FALSE,TRUE,1,1,NA,NA
Vegetation recovery (structure & cover),Process,Functional Viability,"Plots, NDVI trends",Scientists,Are restoration actions working ecologically?,Core,Scientists,T2,T3,NA,NA,FALSE,TRUE,NA,1,1,NA
Grazing and browsing pressure on key habitats,Process,Functional Viability,"Visual scoring, dung counts",Rangers,Is herbivory exceeding sustainable levels?,Core,Rangers,T3,T4,NA,NA,TRUE,FALSE,NA,NA,1,1
Invasive species occurrence and spread,Process,Functional Viability,"Patrol detection, mapping",Rangers,Are invasives threatening native values?,Core,Rangers,T3,T4,NA,NA,TRUE,FALSE,NA,NA,1,1
Water-point availability and wildlife use,Process,Functional Viability,"Patrol checks, camera traps",Rangers,Is water availability limiting wildlife distribution?,Core,Rangers,T3,T4,NA,NA,TRUE,FALSE,NA,NA,1,1
Human–wildlife interaction incidents,Process,Socio-Ecological Integration,Incident logs,Rangers,Are coexistence risks increasing?,Core,Rangers,T3,T4,NA,NA,TRUE,FALSE,NA,NA,1,1
Compliance with PA regulations,Process,Socio-Ecological Integration,Patrol & enforcement records,Rangers,Are threats to values under control?,Core,Rangers,T3,T4,NA,NA,TRUE,FALSE,NA,NA,1,1
Anthropogenic pressure trends,Outcome,Socio-Ecological Integration,"Aggregated threat indices, threat incidence records, SMART/EarthRanger data, enforcement statistics",Managers,Is management reducing human-induced pressure?,Core,Managers,T1,NA,NA,NA,FALSE,FALSE,1,NA,NA,NA
Ground-truthing accuracy of remote-sensing outputs,Process,System Capacity,Field verification,Rangers,Are spatial analyses reliable at site level?,Core,Rangers,T3,T4,NA,NA,TRUE,FALSE,NA,NA,1,1
Monitoring coverage and data continuity,Process,System Capacity,Effort audits,Managers,Is the monitoring system itself reliable?,Core,Managers,T1,T3,NA,NA,FALSE,FALSE,1,NA,1,NA
Institutional response time to ecological alerts,Process,System Capacity,Management tracking,Managers,Is adaptive management functioning?,Core,Managers,T3,NA,NA,NA,FALSE,FALSE,NA,NA,1,NA
Metapopulation connectivity,Outcome,Ecological Structure,Telemetry data + genetic inference,Scientists,Are populations functionally connected across the landscape?,Extended,Scientists,T2,NA,NA,NA,FALSE,TRUE,NA,1,NA,NA
Hydrological function and infiltration dynamics,Process,Ecological Structure,Hydrological sensors and modelling,Scientists,Is water availability and movement supporting ecosystem recovery?,Extended,Scientists,T2,NA,NA,NA,FALSE,TRUE,NA,1,NA,NA
Microbial soil activity,Process,Ecological Structure,Soil sampling and laboratory analysis,Scientists,Is soil recovery underpinning long-term ecosystem resilience?,Extended,Scientists,T2,NA,NA,NA,FALSE,TRUE,NA,1,NA,NA
Population viability analysis (PVA),Outcome,Functional Viability,Demographic and stochastic population modelling,Scientists,Are populations viable over the long term under current and projected conditions?,Extended,Scientists,T2,NA,NA,NA,FALSE,TRUE,NA,1,NA,NA
